zoo_sciName,mamPhy_tiplabel,synonym,synonymNotes,synonymLink,zoo_SourceCode,zoo_Source,zoo_Accession,zoo_IUCN,zoo_Common Name,zoo_Order,zoo_Family,zoo_subspecies
Microtus_ochrogaster,Microtus_ochrogaster_CRICETIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000317375.1,LC,Prairie vole,RODENTIA,Cricetidae,NA
Miniopterus_natalensis,Miniopterus_natalensis_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCF_001595765.1,LC,Bats,CHIROPTERA,Vespertilionidae,NA
Miniopterus_schreibersii,Miniopterus_schreibersii_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004026525.1,NT,Common bent-wing bat,CHIROPTERA,Vespertilionidae,NA
Mirounga_angustirostris,Mirounga_angustirostris_PHOCIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023865.1,LC,Northern elephant seal,CARNIVORA,Phocidae,NA
Mirza_coquereli,Mirza_coquereli_CHEIROGALEIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004024645.1,EN,Coquerel's giant mouse lemur,PRIMATES,Cheirogaleidae,NA
Monodon_monoceros,Monodon_monoceros_MONODONTIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004026685.1,LC,Narwhal,CETARTIODACTYLA,Monodontidae,NA
Mormoops_blainvillei,Mormoops_blainvillei_MORMOOPIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004026545.1,LC,Ghost-faced bat,CHIROPTERA,Mormoopidae,NA
Moschus_moschiferus,Moschus_moschiferus_MOSCHIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004024705.1,VU,Siberian musk deer,CETARTIODACTYLA,Moschidae,NA
Mungos_mungo,Mungos_mungo_HERPESTIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023785.1,LC,South African banded mongoose,CARNIVORA,Herpestidae,NA
Murina_feae,Murina_aurata_VESPERTILIONIDAE_CHIROPTERA,1,split from M. aurata,https://www.mammaldiversity.org/explore.html#genus=Murina&species=feae&id=1005327,1,1. Zoonomia,GCA_004026665.1,LC,Ashy-gray tube-nosed bat,CHIROPTERA,Vespertilionidae,NA
Mus_caroli,Mus_caroli_MURIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCA_900094665.2,LC,Ryukyu mouse,RODENTIA,Muridae,NA
Mus_musculus,Mus_musculus_MURIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000001635.26,LC,House mouse,RODENTIA,Muridae,NA
